SMILES,Catalog_ID,IUPAC_Name,URL
CCOc1ccc(N=C(CCl)Nc2ccc(OCC)cc2)cc1,EN300-06504,"2-chloro-N,N'-bis(4-ethoxyphenyl)ethanimidamide",https://www.enaminestore.com/catalog/EN300-06504
CC(C)N(CC(=O)Nc1ccc(Cl)cc1C(F)(F)F)C(=O)CCl,EN300-09516,2-chloro-N-({[4-chloro-2-(trifluoromethyl)phenyl]carbamoyl}methyl)-N-(propan-2-yl)acetamide,https://www.enaminestore.com/catalog/EN300-09516
CCCC(C)(C)O,EN300-61549,2-methylpentan-2-ol,https://www.enaminestore.com/catalog/EN300-61549
Cc1cn2ccsc2n1,EN300-17423,"6-methylimidazo[2,1-b][1,3]thiazole",https://www.enaminestore.com/catalog/EN300-17423
CC(Cl)C(=O)NCC1CCCCC1,EN300-08443,2-chloro-N-(cyclohexylmethyl)propanamide,https://www.enaminestore.com/catalog/EN300-08443
O=C(O)c1cc(-c2ccc(Br)cc2)n[nH]1,EN300-13028,3-(4-bromophenyl)-1H-pyrazole-5-carboxylic acid,https://www.enaminestore.com/catalog/EN300-13028
COc1ccc(C)cc1C(C)=O,EN300-13453,1-(2-methoxy-5-methylphenyl)ethan-1-one,https://www.enaminestore.com/catalog/EN300-13453
NS(=O)(=O)c1ccc(N2CCOCC2)c(C(=O)O)c1,EN300-12879,2-(morpholin-4-yl)-5-sulfamoylbenzoic acid,https://www.enaminestore.com/catalog/EN300-12879
CCNC(=S)n1ncc(C(=O)OCC)c1N,EN300-13398,ethyl 5-amino-1-(ethylcarbamothioyl)-1H-pyrazole-4-carboxylate,https://www.enaminestore.com/catalog/EN300-13398
COc1ccc(C)cc1C=O,EN300-13716,2-methoxy-5-methylbenzaldehyde,https://www.enaminestore.com/catalog/EN300-13716
O=C(O)Cn1cnc2c(oc3ccccc32)c1=O,EN300-13447,"2-{6-oxo-8-oxa-3,5-diazatricyclo[7.4.0.0,2,7]trideca-1(9),2(7),3,10,12-pentaen-5-yl}acetic acid",https://www.enaminestore.com/catalog/EN300-13447
C=C(Br)C(F)(F)F,EN300-25972,"2-bromo-3,3,3-trifluoroprop-1-ene",https://www.enaminestore.com/catalog/EN300-25972
CS(=O)(=O)c1ccccc1N,EN300-25505,2-methanesulfonylaniline,https://www.enaminestore.com/catalog/EN300-25505
Cc1c(C)n(-c2ccc(O)cc2)c2[nH]cnc(=O)c12,EN300-26846,"7-(4-hydroxyphenyl)-5,6-dimethyl-1H,4H,7H-pyrrolo[2,3-d]pyrimidin-4-one",https://www.enaminestore.com/catalog/EN300-26846
O=C(O)CCc1ccc2c(c1)OCO2,EN300-24326,"3-(1,3-dioxaindan-5-yl)propanoic acid",https://www.enaminestore.com/catalog/EN300-24326
CC(Oc1ccc(C(C)(C)C)cc1)C(=O)O,EN300-11785,2-(4-tert-butylphenoxy)propanoic acid,https://www.enaminestore.com/catalog/EN300-11785
Cc1ccc(CNC(=O)NC(CC(C)C)C(=O)O)cc1,EN300-26719,4-methyl-2-({[(4-methylphenyl)methyl]carbamoyl}amino)pentanoic acid,https://www.enaminestore.com/catalog/EN300-26719
Cl.c1cc2c(s1)CCNC2,EN300-26520,"4H,5H,6H,7H-thieno[3,2-c]pyridine hydrochloride",https://www.enaminestore.com/catalog/EN300-26520
Cl.NNc1cccc([N+](=O)[O-])c1,EN300-20466,(3-nitrophenyl)hydrazine hydrochloride,https://www.enaminestore.com/catalog/EN300-20466
NS(=O)(=O)c1cc(C(=O)O)cs1,EN300-23792,5-sulfamoylthiophene-3-carboxylic acid,https://www.enaminestore.com/catalog/EN300-23792
CONC(=O)CCl,EN300-26804,2-chloro-N-methoxyacetamide,https://www.enaminestore.com/catalog/EN300-26804
CC1(CSc2ccccc2C(=O)O)NC(=O)NC1=O,EN300-11148,"2-{[(4-methyl-2,5-dioxoimidazolidin-4-yl)methyl]sulfanyl}benzoic acid",https://www.enaminestore.com/catalog/EN300-11148
O=C(Nc1cccc([N+](=O)[O-])c1)Oc1ccccc1,EN300-27176,phenyl N-(3-nitrophenyl)carbamate,https://www.enaminestore.com/catalog/EN300-27176
Oc1ccc(Oc2ccccn2)cc1,EN300-28547,4-(pyridin-2-yloxy)phenol,https://www.enaminestore.com/catalog/EN300-28547
ClCc1noc(-c2ccsc2)n1,EN300-28957,"3-(chloromethyl)-5-(thiophen-3-yl)-1,2,4-oxadiazole",https://www.enaminestore.com/catalog/EN300-28957
CCOC(=O)c1nc2ccccc2s1,EN300-25508,"ethyl 1,3-benzothiazole-2-carboxylate",https://www.enaminestore.com/catalog/EN300-25508
COC(=O)c1cccc(C#Cc2cccc(N)c2)c1,EN300-27699,methyl 3-[2-(3-aminophenyl)ethynyl]benzoate,https://www.enaminestore.com/catalog/EN300-27699
Cc1ccc(Cn2nc(C)c(C=O)c2SCC(=O)O)cc1,EN300-25392,2-({4-formyl-3-methyl-1-[(4-methylphenyl)methyl]-1H-pyrazol-5-yl}sulfanyl)acetic acid,https://www.enaminestore.com/catalog/EN300-25392
CC(c1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(F)cc1,EN300-26782,4-[1-(4-fluorophenyl)-1-(4-hydroxyphenyl)ethyl]phenol,https://www.enaminestore.com/catalog/EN300-26782
CC(C)CN1CCC(N)CC1,EN300-30377,1-(2-methylpropyl)piperidin-4-amine,https://www.enaminestore.com/catalog/EN300-30377
COc1ccc(C2CCCN2C(=O)CCl)cc1OC,EN300-28448,"2-chloro-1-[2-(3,4-dimethoxyphenyl)pyrrolidin-1-yl]ethan-1-one",https://www.enaminestore.com/catalog/EN300-28448
Cc1cc(NC(=O)CCl)on1,EN300-24698,"2-chloro-N-(3-methyl-1,2-oxazol-5-yl)acetamide",https://www.enaminestore.com/catalog/EN300-24698
NC1CCc2[nH]ncc2C1,EN300-40800,"4,5,6,7-tetrahydro-1H-indazol-5-amine",https://www.enaminestore.com/catalog/EN300-40800
Cc1ccc(-c2nc(N)sc2C)cc1,EN300-08659,"5-methyl-4-(4-methylphenyl)-1,3-thiazol-2-amine",https://www.enaminestore.com/catalog/EN300-08659
CC(NS(=O)(=O)c1ccc2c(c1)OCCCO2)C(=O)O,EN300-10978,"2-(3,4-dihydro-2H-1,5-benzodioxepine-7-sulfonamido)propanoic acid",https://www.enaminestore.com/catalog/EN300-10978
COC(=O)c1sc(S(=O)(=O)NCCC(=O)O)c(C(=O)OC)c1C,EN300-08677,"3-[3,5-bis(methoxycarbonyl)-4-methylthiophene-2-sulfonamido]propanoic acid",https://www.enaminestore.com/catalog/EN300-08677
CC(=O)c1ccc(O)c(CN2CCCCC2)c1.Cl,EN300-11722,1-{4-hydroxy-3-[(piperidin-1-yl)methyl]phenyl}ethan-1-one hydrochloride,https://www.enaminestore.com/catalog/EN300-11722
CN(C)CC(=O)O,EN300-66975,2-(dimethylamino)acetic acid,https://www.enaminestore.com/catalog/EN300-66975
N[C@H](CCO)C(=O)O,EN300-50993,(2R)-2-amino-4-hydroxybutanoic acid,https://www.enaminestore.com/catalog/EN300-50993
O=Cc1ccc(-c2nc3ccccc3s2)o1,EN300-10420,"5-(1,3-benzothiazol-2-yl)furan-2-carbaldehyde",https://www.enaminestore.com/catalog/EN300-10420
Cc1ccc(Cn2nc(C)c(C(=O)O)c2C)cc1,EN300-07741,"3,5-dimethyl-1-[(4-methylphenyl)methyl]-1H-pyrazole-4-carboxylic acid",https://www.enaminestore.com/catalog/EN300-07741
O=C(O)CCc1ccco1,EN300-11243,3-(furan-2-yl)propanoic acid,https://www.enaminestore.com/catalog/EN300-11243
CCc1c(C)sc2nc(CC(=O)N3CCOCC3)[nH]c(=O)c12,EN300-07923,"5-ethyl-6-methyl-2-[2-(morpholin-4-yl)-2-oxoethyl]-3H,4H-thieno[2,3-d]pyrimidin-4-one",https://www.enaminestore.com/catalog/EN300-07923
Cc1ccc(S(=O)(=O)NC(C(=O)O)C(C)C)cc1C,EN300-10802,"2-(3,4-dimethylbenzenesulfonamido)-3-methylbutanoic acid",https://www.enaminestore.com/catalog/EN300-10802
CC(=O)c1ccc(N2CCCCC2)c(F)c1,EN300-07758,1-[3-fluoro-4-(piperidin-1-yl)phenyl]ethan-1-one,https://www.enaminestore.com/catalog/EN300-07758
CC(C)N1C(=O)NC(=O)C1=O,EN300-10861,"1-(propan-2-yl)imidazolidine-2,4,5-trione",https://www.enaminestore.com/catalog/EN300-10861
CN(CC(=O)Nc1ccccc1C(F)(F)F)C(=O)CCl,EN300-11911,2-chloro-N-methyl-N-({[2-(trifluoromethyl)phenyl]carbamoyl}methyl)acetamide,https://www.enaminestore.com/catalog/EN300-11911
CNCc1ccc(OC(F)F)cc1,EN300-07489,{[4-(difluoromethoxy)phenyl]methyl}(methyl)amine,https://www.enaminestore.com/catalog/EN300-07489
Cc1cc(Cl)cc(C)c1OC(C)C(=O)NN,EN300-08759,"2-(4-chloro-2,6-dimethylphenoxy)propanehydrazide",https://www.enaminestore.com/catalog/EN300-08759
BrCC1CC1,EN300-78939,(bromomethyl)cyclopropane,https://www.enaminestore.com/catalog/EN300-78939
O=C(Nc1ccccc1C(=O)O)c1ccc(Cl)cc1,EN300-11456,2-(4-chlorobenzamido)benzoic acid,https://www.enaminestore.com/catalog/EN300-11456
CCc1cccc(CC)c1NC(=O)CC(=O)c1ccccc1,EN300-11557,"N-(2,6-diethylphenyl)-3-oxo-3-phenylpropanamide",https://www.enaminestore.com/catalog/EN300-11557
OCC1CCCCC1,EN300-21580,cyclohexylmethanol,https://www.enaminestore.com/catalog/EN300-21580
